epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,55503.5,0.99409,0.51795,0.95037,0.82518,0.77256,0.81466,0.61203,1.22283,0.87503,1.54483,9.73287e-05,9.73287e-05,9.73287e-05
184,55802,0.9797,0.51014,0.94961,0.8155,0.77975,0.81467,0.61216,1.22286,0.87489,1.5452,9.30004e-05,9.30004e-05,9.30004e-05
185,56101.7,0.98682,0.51266,0.94971,0.84384,0.75522,0.81406,0.61188,1.22286,0.87485,1.54596,8.87768e-05,8.87768e-05,8.87768e-05
186,56402.1,0.98022,0.51127,0.95029,0.84463,0.75438,0.81389,0.61183,1.22314,0.87452,1.5466,8.46587e-05,8.46587e-05,8.46587e-05
187,56701.1,0.98363,0.50953,0.95002,0.84348,0.75883,0.81505,0.61172,1.22311,0.8749,1.54713,8.06468e-05,8.06468e-05,8.06468e-05
188,56999.5,0.96693,0.50503,0.94914,0.84486,0.75816,0.81564,0.61198,1.22341,0.87459,1.54777,7.67421e-05,7.67421e-05,7.67421e-05
189,57298.6,0.97249,0.50598,0.947,0.84532,0.75798,0.8157,0.61195,1.22342,0.87407,1.5483,7.29453e-05,7.29453e-05,7.29453e-05
190,57597.3,0.97354,0.50718,0.94179,0.84661,0.75758,0.81574,0.61217,1.22345,0.87399,1.54883,6.92572e-05,6.92572e-05,6.92572e-05
191,57896.4,0.9851,0.51218,0.94515,0.84975,0.75526,0.81561,0.61216,1.22415,0.87495,1.54973,6.56786e-05,6.56786e-05,6.56786e-05
192,58196.9,0.96265,0.50236,0.9431,0.80073,0.78778,0.81567,0.61239,1.22417,0.87573,1.55024,6.22101e-05,6.22101e-05,6.22101e-05
193,58497.8,0.97809,0.50838,0.94074,0.79812,0.79167,0.81627,0.61346,1.2243,0.87557,1.55085,5.88526e-05,5.88526e-05,5.88526e-05
194,58799.2,0.94884,0.49257,0.94258,0.79873,0.7917,0.81628,0.6132,1.22445,0.87567,1.55149,5.56065e-05,5.56065e-05,5.56065e-05
195,59099.5,0.97391,0.508,0.94385,0.7995,0.79106,0.81624,0.61395,1.22447,0.87554,1.55204,5.24728e-05,5.24728e-05,5.24728e-05
196,59400.9,0.96852,0.50128,0.94347,0.79942,0.79211,0.81644,0.61348,1.22441,0.8751,1.55257,4.94519e-05,4.94519e-05,4.94519e-05
197,59701.5,0.96977,0.50326,0.94276,0.7996,0.79211,0.81656,0.6142,1.22525,0.87494,1.55429,4.65444e-05,4.65444e-05,4.65444e-05
198,60003.3,0.95348,0.49631,0.9402,0.79992,0.79305,0.81704,0.61452,1.22526,0.87434,1.55479,4.37511e-05,4.37511e-05,4.37511e-05
199,60304.4,0.96098,0.49795,0.93691,0.80083,0.79281,0.81709,0.61477,1.2254,0.87408,1.55536,4.10724e-05,4.10724e-05,4.10724e-05
200,60605.2,0.95462,0.49753,0.93747,0.80272,0.79256,0.81707,0.61429,1.22566,0.87406,1.55616,3.85089e-05,3.85089e-05,3.85089e-05
201,60905.7,0.9676,0.50088,0.93643,0.8027,0.79099,0.81744,0.61485,1.22564,0.87429,1.55685,3.60612e-05,3.60612e-05,3.60612e-05
202,61208,0.96778,0.50198,0.93852,0.80325,0.79075,0.81763,0.61462,1.22569,0.87407,1.55748,3.37296e-05,3.37296e-05,3.37296e-05
203,61508.9,0.9653,0.5009,0.93573,0.80281,0.79141,0.81767,0.61473,1.22595,0.87393,1.55797,3.15148e-05,3.15148e-05,3.15148e-05
204,61810.4,0.96157,0.49801,0.93491,0.80249,0.7929,0.81777,0.61534,1.22616,0.87438,1.55882,2.94171e-05,2.94171e-05,2.94171e-05
205,62113.1,0.94357,0.49066,0.93671,0.8026,0.79291,0.81778,0.61523,1.22634,0.87392,1.55954,2.74369e-05,2.74369e-05,2.74369e-05
206,62414.2,0.96416,0.49842,0.94008,0.81402,0.78202,0.81722,0.61502,1.22658,0.87412,1.56039,2.55748e-05,2.55748e-05,2.55748e-05
207,62714.7,0.95739,0.4962,0.93524,0.81373,0.78234,0.81733,0.615,1.22676,0.87377,1.56099,2.3831e-05,2.3831e-05,2.3831e-05
208,63015.7,0.97904,0.50753,0.93134,0.81342,0.783,0.81712,0.61515,1.22694,0.87327,1.56186,2.22059e-05,2.22059e-05,2.22059e-05
209,63316.5,0.96761,0.50267,0.93599,0.81254,0.78448,0.81723,0.61357,1.22721,0.87344,1.56236,2.06998e-05,2.06998e-05,2.06998e-05
210,63618,0.95423,0.4969,0.93654,0.81413,0.78294,0.81724,0.61379,1.22706,0.87367,1.5625,1.93131e-05,1.93131e-05,1.93131e-05
211,63919.8,0.95789,0.49748,0.93449,0.81329,0.78588,0.81751,0.61381,1.22712,0.87394,1.56274,1.80461e-05,1.80461e-05,1.80461e-05
212,64220.6,0.97078,0.50304,0.9347,0.85678,0.75925,0.81837,0.61427,1.22711,0.87391,1.5631,1.68989e-05,1.68989e-05,1.68989e-05
213,64521.6,0.94664,0.49107,0.93392,0.85657,0.75952,0.81816,0.61495,1.22722,0.87398,1.5635,1.58718e-05,1.58718e-05,1.58718e-05
214,64821.4,0.95401,0.4959,0.93729,0.8573,0.75954,0.8181,0.61372,1.22729,0.87406,1.56421,1.49651e-05,1.49651e-05,1.49651e-05
215,65120.8,0.94462,0.48929,0.93248,0.85708,0.75948,0.81796,0.61397,1.22738,0.87413,1.56434,1.4179e-05,1.4179e-05,1.4179e-05
216,65420.8,0.95016,0.4956,0.93138,0.8573,0.7594,0.81771,0.61348,1.2272,0.87382,1.56467,1.35134e-05,1.35134e-05,1.35134e-05
217,65722,0.96535,0.49907,0.93068,0.85772,0.75932,0.81789,0.61396,1.22723,0.87406,1.56504,1.29688e-05,1.29688e-05,1.29688e-05
218,66022.8,0.96415,0.49997,0.93236,0.85767,0.75915,0.81713,0.61373,1.22742,0.87421,1.56533,1.2545e-05,1.2545e-05,1.2545e-05
219,66323.4,0.96106,0.4981,0.93162,0.85752,0.75945,0.81688,0.61386,1.22756,0.87405,1.56565,1.22422e-05,1.22422e-05,1.22422e-05
220,66623.9,0.9485,0.4912,0.93432,0.85838,0.75875,0.81689,0.61518,1.2275,0.87421,1.56592,1.20606e-05,1.20606e-05,1.20606e-05
