epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12917.5,1.49676,1.09352,1.21369,0.68698,0.62925,0.68999,0.47482,1.27741,1.15154,1.55292,0.00110107,0.00110107,0.00110107
43,13221.5,1.49065,1.09716,1.21416,0.73822,0.63843,0.70095,0.49176,1.26661,1.12708,1.55934,0.00109633,0.00109633,0.00109633
44,13525.1,1.49991,1.09111,1.20872,0.70227,0.62061,0.69786,0.49039,1.27171,1.13905,1.55935,0.00109149,0.00109149,0.00109149
45,13827.4,1.48345,1.07916,1.20707,0.76589,0.60884,0.70805,0.49218,1.26785,1.11692,1.54561,0.00108656,0.00108656,0.00108656
46,14129.8,1.48259,1.06356,1.20481,0.65504,0.66935,0.71627,0.49854,1.26709,1.08354,1.55679,0.00108152,0.00108152,0.00108152
47,14432.4,1.49831,1.06666,1.19375,0.75093,0.64118,0.72045,0.50923,1.27599,1.10365,1.55753,0.00107639,0.00107639,0.00107639
48,14735.8,1.47201,1.0404,1.19374,0.72942,0.6251,0.71938,0.50381,1.27319,1.09542,1.55299,0.00107116,0.00107116,0.00107116
49,15037.3,1.46389,1.04227,1.19535,0.67872,0.67842,0.73104,0.51458,1.25477,1.065,1.54383,0.00106584,0.00106584,0.00106584
50,15340.9,1.46584,1.02174,1.1897,0.73947,0.64426,0.72611,0.51479,1.25447,1.05928,1.54522,0.00106042,0.00106042,0.00106042
51,15643.6,1.46347,1.02553,1.18207,0.67128,0.67894,0.7279,0.51111,1.25865,1.06501,1.54004,0.00105492,0.00105492,0.00105492
52,15944.8,1.43741,1.01817,1.18191,0.70881,0.6868,0.73287,0.51512,1.25038,1.04696,1.533,0.00104931,0.00104931,0.00104931
53,16247.9,1.4594,1.02635,1.17399,0.73013,0.65819,0.72368,0.51639,1.25283,1.06529,1.53759,0.00104362,0.00104362,0.00104362
54,16550.9,1.43999,1.00475,1.17796,0.73057,0.64951,0.72044,0.50882,1.24777,1.07386,1.52901,0.00103784,0.00103784,0.00103784
55,16851.7,1.42524,1.00611,1.18124,0.75603,0.64202,0.72954,0.51989,1.24966,1.06459,1.54052,0.00103198,0.00103198,0.00103198
56,17154.4,1.43933,1.00021,1.17401,0.74108,0.66651,0.72323,0.51754,1.24854,1.0308,1.5386,0.00102602,0.00102602,0.00102602
57,17456.5,1.43481,0.98508,1.16522,0.75272,0.65466,0.74338,0.52837,1.24663,1.03796,1.53168,0.00101998,0.00101998,0.00101998
58,17759.1,1.4281,0.98083,1.16008,0.72375,0.69161,0.73417,0.52746,1.23828,1.04333,1.52247,0.00101386,0.00101386,0.00101386
59,18060.6,1.41808,0.97328,1.15973,0.73243,0.65768,0.73484,0.52492,1.24532,1.04085,1.51572,0.00100765,0.00100765,0.00100765
60,18362,1.4209,0.96738,1.15929,0.747,0.66719,0.74629,0.54137,1.24096,1.0273,1.51295,0.00100136,0.00100136,0.00100136
61,18665.1,1.42446,0.96192,1.15524,0.74811,0.69498,0.75193,0.53825,1.24298,1.0199,1.5188,0.000994987,0.000994987,0.000994987
62,18967.3,1.41644,0.96271,1.16109,0.75072,0.72751,0.76423,0.54999,1.24212,1.0111,1.51869,0.000988537,0.000988537,0.000988537
63,19269.5,1.39501,0.94038,1.16013,0.75962,0.72137,0.76882,0.55021,1.24344,1.02017,1.52103,0.000982009,0.000982009,0.000982009
64,19572.8,1.41002,0.95157,1.15889,0.71569,0.73566,0.77106,0.56036,1.23829,1.01301,1.51016,0.000975405,0.000975405,0.000975405
65,19875.5,1.39666,0.94287,1.15366,0.77456,0.722,0.7734,0.55961,1.23552,0.99542,1.50998,0.000968725,0.000968725,0.000968725
66,20177,1.41067,0.94075,1.14906,0.74951,0.71977,0.76897,0.55932,1.23177,0.99844,1.51093,0.000961971,0.000961971,0.000961971
67,20477.8,1.3936,0.93177,1.14772,0.78697,0.68872,0.76086,0.54864,1.22902,0.98896,1.50929,0.000955144,0.000955144,0.000955144
68,20778.4,1.37886,0.91439,1.14772,0.77195,0.71904,0.77058,0.55804,1.23194,0.97803,1.51027,0.000948247,0.000948247,0.000948247
69,21080,1.39612,0.9138,1.1417,0.7925,0.70042,0.77075,0.5576,1.23326,0.97265,1.50984,0.000941279,0.000941279,0.000941279
70,21381.2,1.36559,0.90066,1.14152,0.77455,0.69989,0.76864,0.55762,1.23233,0.97645,1.51024,0.000934243,0.000934243,0.000934243
71,21683.1,1.39804,0.91072,1.13237,0.77122,0.71456,0.76665,0.5514,1.22862,0.97786,1.50511,0.000927141,0.000927141,0.000927141
72,21984.4,1.4,0.90909,1.14114,0.79083,0.70121,0.7706,0.55828,1.22925,0.96738,1.51292,0.000919972,0.000919972,0.000919972
73,22286.4,1.39102,0.91404,1.13861,0.78636,0.71857,0.77148,0.56357,1.23219,0.96219,1.51441,0.00091274,0.00091274,0.00091274
74,22589,1.35711,0.88985,1.13386,0.81221,0.69715,0.77173,0.56375,1.23447,0.96279,1.51782,0.000905445,0.000905445,0.000905445
75,22890.9,1.34621,0.88189,1.13152,0.81705,0.70774,0.78124,0.56807,1.23263,0.96367,1.51731,0.000898089,0.000898089,0.000898089
76,23194.4,1.3777,0.89054,1.1325,0.81521,0.71916,0.7807,0.56724,1.23248,0.96049,1.51639,0.000890674,0.000890674,0.000890674
